outcome,cntry,term,or,or_low,or_high
w1gq13,SI,gndrFemale,0.8166588372312824,0.603373026098794,1.1053388659750087
w1gq13,SI,age,0.98864583934806,0.9798753401847006,0.9974948399823924
w1gq13,SI,eisced,0.9602881619419836,0.8532575596190812,1.0807444288891963
w1gq13,SI,hinctnta,0.987367782757697,0.9194751280251161,1.0602735285746858
w1gq13,SI,w1xq3,1.0914856176686794,0.9596677501676856,1.2414096997314037
w1gq13,SI,hincfel,1.2121170715136795,0.9418276170420552,1.5599752741050634
w1gq13,SI,1|2,0.03266687700872203,0.011049975903823705,0.09657259552337183
w1gq13,SI,2|3,0.17466564872887758,0.060475051071815215,0.5044739657954277
w1gq13,SI,3|4,0.6807442207222874,0.23361865130951576,1.9836288389184729
w1gq13,SI,4|5,2.2747521321870297,0.7799725676333519,6.634204172834262
w1gq14,AT,clusterMid,0.4158856039350326,0.2295189943881975,0.7535796155845343
w1gq14,AT,clusterHigh,0.13992749354596834,0.06993897447784074,0.2799541113697712
w1gq14,AT,gndrFemale,0.8941172447030573,0.5427153588317102,1.4730477666899522
w1gq14,AT,age,1.0136643767577191,1.001365263684692,1.0261145517737444
w1gq14,AT,eisced,0.9194502530108583,0.771460354662393,1.0958291798827315
w1gq14,AT,hinctnta,0.9893868771888698,0.8855004294708464,1.1054612286732626
w1gq14,AT,w1xq3,1.0458288701735394,0.8693984402064177,1.2580630181816008
w1gq14,AT,hincfel,1.2478289137125316,0.9135961751539907,1.704338350184691
w1gq14,AT,1|2,0.33041527948239097,0.0743286181626426,1.4688051468485022
w1gq14,AT,2|3,4.231721492007279,0.9128633484127069,19.616809916899317
w1gq14,AT,3|4,15.365447809774635,3.145032245941696,75.06981421241842
w1gq14,AT,4|5,80.19810327765022,13.57535231459817,473.78039407613204
w1gq14,BE,clusterMid,0.36321772243617384,0.25562325588004603,0.5160998103929543
w1gq14,BE,clusterHigh,0.16574857083065653,0.10830609160946907,0.25365691185188405
w1gq14,BE,gndrFemale,0.8657515044323714,0.6352483898781989,1.1798938484057029
w1gq14,BE,age,1.0109502561080026,1.0022910687874942,1.019684253558409
w1gq14,BE,eisced,0.9814361556918053,0.887305131958396,1.0855532026205759
w1gq14,BE,hinctnta,0.994668893471185,0.9246991710813296,1.0699330534515796
w1gq14,BE,w1xq3,1.0214757589393741,0.8964854396214103,1.1638925519430723
w1gq14,BE,hincfel,0.9933144858629922,0.7527880702266941,1.3106924868351517
w1gq14,BE,1|2,0.18409383512476687,0.05727231829445131,0.5917438151657334
w1gq14,BE,2|3,1.6850694903798324,0.532465246057676,5.332665762567688
w1gq14,BE,3|4,6.7135793214820305,2.175618386701203,20.7169361967804
w1gq14,BE,4|5,25.55262471254893,7.834556729106376,83.34059631920508
w1gq14,CZ,clusterMid,0.409172907828306,0.2439426228259518,0.6863190473282893
w1gq14,CZ,clusterHigh,0.14805503146755958,0.07732763518455542,0.2834729432827422
w1gq14,CZ,gndrFemale,0.8805595057144038,0.5487364128376513,1.413037343547675
w1gq14,CZ,age,1.0056426617214367,0.9916643429649634,1.019818016296172
w1gq14,CZ,eisced,1.0326283836441843,0.9016166270078936,1.1826771454362999
w1gq14,CZ,hinctnta,0.9880379523382646,0.8816637621551153,1.1072463643901473
w1gq14,CZ,w1xq3,1.115384234004794,0.9175408556215459,1.355887295747408
w1gq14,CZ,hincfel,1.5259601637286386,1.0736271897749847,2.168866850116531
w1gq14,CZ,1|2,0.28658103377260663,0.04831759069264062,1.699767884549863
w1gq14,CZ,2|3,3.557138336297469,0.5670532828858128,22.314010914746966
w1gq14,CZ,3|4,12.117339947693695,1.825949066986804,80.41293706525639
w1gq14,CZ,4|5,31.461779708939154,4.449039188217361,222.48479740867964
w1gq14,FI,clusterMid,0.3031246914062388,0.2224592353847637,0.4130400717291179
w1gq14,FI,clusterHigh,0.10833999809613878,0.0761054456997607,0.1542275336482033
w1gq14,FI,gndrFemale,0.6828687899703937,0.5285010910143036,0.8823251119892375
w1gq14,FI,age,1.0089408291162156,1.0018138112561328,1.0161185493952578
w1gq14,FI,eisced,1.0801827485312965,0.9935238049047678,1.1744004164414226
w1gq14,FI,hinctnta,1.0742704722089402,1.0146807377814042,1.137359766958187
w1gq14,FI,w1xq3,1.1315696656288818,1.0046074938390308,1.27457730110923
w1gq14,FI,hincfel,1.146802376013747,0.9294923399283597,1.4149182657407815
w1gq14,FI,1|2,0.5529226870405994,0.2291532826956044,1.334144090138583
w1gq14,FI,2|3,5.950928601505457,2.4978957922889427,14.177353326563134
w1gq14,FI,3|4,27.25700376917888,11.437219647626636,64.9584669493693
w1gq14,FI,4|5,108.52039450156464,43.208454293165026,272.5549019382098
w1gq14,FR,clusterMid,0.25938478154816313,0.15074623793606293,0.44631604622414817
w1gq14,FR,clusterHigh,0.11187747165794569,0.06421058670392735,0.19492998440098172
w1gq14,FR,gndrFemale,1.2798888578237648,0.8062447532665249,2.031784370372083
w1gq14,FR,age,1.0083234543463861,0.9941768110231923,1.0226713973932255
w1gq14,FR,eisced,0.9056159802326528,0.7730216181563364,1.060953903991444
w1gq14,FR,hinctnta,0.9485309217250748,0.8660734093180705,1.03883908660472
w1gq14,FR,w1xq3,1.098685196584336,0.8908215656256785,1.3550515701152053
w1gq14,FR,hincfel,1.0551475850778413,0.7203001781131018,1.5456561863029057
w1gq14,FR,1|2,0.07496521833615222,0.011499549920176641,0.48869599238199124
w1gq14,FR,2|3,0.6807472868815376,0.10586503638589319,4.377430778064948
w1gq14,FR,3|4,3.3282416841382934,0.4976698743241212,22.258113821093737
w1gq14,FR,4|5,7.648071365966805,1.00616937754095,58.1343429094181
w1gq14,HU,clusterMid,0.4796999110640722,0.1377032754971478,1.6710713949549083
w1gq14,HU,clusterHigh,0.3277216588964447,0.08401859827720727,1.2783060883196589
w1gq14,HU,gndrFemale,2.0293498704770316,0.8157212926733894,5.048612723235698
w1gq14,HU,age,0.976956733399448,0.955159385566419,0.9992515106455505
w1gq14,HU,eisced,0.6742766580713169,0.44011450641135863,1.0330243720593932
w1gq14,HU,hinctnta,0.9209101795223785,0.7683433588733845,1.10377157419759
w1gq14,HU,w1xq3,1.0046268012059179,0.6030805887116992,1.6735325735773527
w1gq14,HU,hincfel,0.4959674969543881,0.18249090004242896,1.3479234196226222
w1gq14,HU,1|2,0.01683036671306248,2.3506082030976685e-4,1.2050551143439192
w1gq14,HU,2|3,0.06994264920496886,9.501545528694719e-4,5.14860889003325
w1gq14,HU,3|4,0.21496009171280747,0.0029364871688715936,15.735754448038307
w1gq14,HU,4|5,1.2770012874191925,0.00847235257921749,192.4769150979891
w1gq14,PL,clusterMid,0.3096170060921555,0.18329139942061073,0.5230070301415914
w1gq14,PL,clusterHigh,0.18310533578762936,0.10739796490440093,0.3121806267348239
w1gq14,PL,gndrFemale,1.1298307546831512,0.7339149676110186,1.7393262033926316
w1gq14,PL,age,0.9971322029038004,0.9850946362839836,1.009316865046006
w1gq14,PL,eisced,0.9723790651680904,0.8525722171397639,1.1090216492735747
