model,outcome,country,term,estimate,std.error,conf.low,conf.high,or,or_low,or_high
by_country,w1gq15,FR,eisced,-0.10490754630259617,0.08717718217156883,-0.27577168363255833,0.065956591027366,0.9004077647652063,0.758986199952504,1.0681803475480969
by_country,w1gq15,FR,hinctnta,0.07638248819590297,0.05044029458078195,-0.02247867255202049,0.17524364894382644,1.0793753435403963,0.9777720903543561,1.1915364978567962
by_country,w1gq15,FR,w1xq3,0.02667771366478006,0.09366007980854776,-0.15689266954912065,0.21024809687868076,1.0270367495092494,0.8547957995128834,1.2339841696035694
by_country,w1gq15,FR,hincfel,0.5615665243975448,0.19178603759284224,0.18567279797792924,0.9374602508171604,1.7534171206760447,1.2040282354449998,2.553487956985967
by_country,w1gq15,FR,1|2,-1.33081816714717,0.9533885331701454,-3.1994253554341254,0.5377890211397853,0.2642609631895247,0.04078563448883845,1.712216998486717
by_country,w1gq15,FR,2|3,0.6365071322897029,0.9089254403500563,-1.1449539954286163,2.4179682600080223,1.8898682776726716,0.3182385578821141,11.223033848326162
by_country,w1gq15,FR,3|4,2.150801918875112,0.8938325804301694,0.39892225302347906,3.9026815847267446,8.59174551825387,1.4902177541786612,49.53510374134587
by_country,w1gq15,FR,4|5,3.956597198813469,0.8633710733529925,2.264420989747915,5.648773407879023,52.27912745708475,9.625549695346681,283.94296992673463
by_country,w1gq15,HU,clusterMid,-0.7197729332804736,0.4521738855084359,-1.6060174636265456,0.16647159706559833,0.486862793747206,0.2006852610435715,1.1811299878363803
by_country,w1gq15,HU,clusterHigh,-1.0438016503736225,0.6154710070993505,-2.250102657816945,0.1624993570697002,0.35211352176140015,0.1053884050629257,1.1764475620746635
by_country,w1gq15,HU,gndrFemale,-0.008300185253557213,0.4353470916971218,-0.8615648057541723,0.8449644352470578,0.9917341661772827,0.42250043366720863,2.3278950220866603
by_country,w1gq15,HU,age,-0.0015242357056786016,0.01071895775109968,-0.022533006849640422,0.01948453543828322,0.9984769253515814,0.9777189652378653,1.0196755979025138
by_country,w1gq15,HU,eisced,-0.14711786446762892,0.15745412495907438,-0.45572227860468384,0.161486549669426,0.8631922317274825,0.6339898852067903,1.1752566504616082
by_country,w1gq15,HU,hinctnta,-0.13874170185190557,0.09172536266709393,-0.31852010914828444,0.041036705444473326,0.8704528357788296,0.7272244539441621,1.041890347891936
by_country,w1gq15,HU,w1xq3,0.10523719953786881,0.1830681695840794,-0.2535698195625977,0.46404421863833534,1.1109741016479586,0.7760255612683667,1.5904932983330595
by_country,w1gq15,HU,hincfel,-0.2262278438261847,0.500507692010161,-1.2072048941513658,0.7547492064989965,0.7975363672254953,0.2990319383262443,2.1270779991175823
by_country,w1gq15,HU,1|2,-3.288689162302711,1.4987195676663878,-6.226125537854271,-0.351252786751151,0.03730271516692352,0.0019770972647417105,0.7038058185804082
by_country,w1gq15,HU,2|3,-1.804418562937536,1.511996138437279,-4.76787653903824,1.1590394131631678,0.16457011592928888,0.008498407049087746,3.1868705394485444
by_country,w1gq15,HU,3|4,-0.0865152780820202,1.5670267529998472,-3.1578312767724634,2.9848007206084226,0.917121536819606,0.04251785061457913,19.782559587100646
by_country,w1gq15,HU,4|5,1.123514909204724,1.5116038648531436,-1.8391742247989877,4.086204043208436,3.0756458422483255,0.15894862776296975,59.51355151707209
