w1gq5,w1gq1,w1gq10,w1gq13,w1gq14,w1gq15,w1gq16,gndr,age,eisced,hinctnta,w1xq3,hincfel,cntry,w1weight,risk_score,cluster
4,3,10,1,1,1,1,Male,38,7,5,4,1,AT,0.024254832,0.5218620042142851,Mid
3,2,8,3,3,4,2,Female,73,3,6,4,2,AT,0.054666486,-0.6076866296742021,Low
4,4,10,1,2,2,1,Female,36,7,10,3,1,AT,0.05444986,0.8049765788142919,High
5,5,10,1,1,1,1,Male,60,5,7,2,1,AT,0.036253363,1.8203841942742083,High
3,4,8,4,2,1,2,Female,72,7,9,2,1,AT,0.07798855,-0.04145748047418853,Mid
3,4,8,3,2,2,2,Female,53,5,10,2,1,AT,0.058234982,-0.04145748047418853,Mid
2,2,7,5,4,5,4,Male,29,3,NA,4,2,AT,0.11657916,-1.3970501797483972,Low
2,3,1,4,1,2,3,Male,43,7,8,4,2,AT,0.034417167,-1.4563586604341021,Low
3,4,7,3,2,2,2,Female,86,7,1,3,2,AT,0.10301151,-0.09852798968847376,Mid
4,3,5,1,1,2,1,Male,63,4,3,NA,2,AT,0.102739505,0.23650945814285881,Mid
3,3,8,3,2,1,2,Female,39,7,NA,1,1,AT,0.031125568,-0.3245720550741953,Mid
3,4,8,3,2,3,2,Male,64,6,7,4,2,AT,0.04693291,-0.04145748047418853,Mid
4,2,8,3,1,1,2,Female,67,2,8,2,1,AT,0.43113792,0.12460641118570773,Mid
5,5,10,1,2,1,2,Female,58,7,1,3,4,AT,0.014257239,1.8203841942742083,High
4,2,7,2,2,1,2,Male,64,7,NA,3,1,AT,0.047003277,0.0675359019714225,Mid
3,4,10,2,1,2,1,Female,55,4,8,2,1,AT,0.06339809,0.07268353795438197,Mid
4,2,8,3,2,2,3,Male,54,7,10,2,1,AT,0.04808568,0.12460641118570773,Mid
5,5,8,1,1,4,2,Male,51,7,9,NA,1,AT,0.032636985,1.7062431758456378,High
3,3,8,3,2,1,2,Female,50,5,10,4,1,AT,0.14673395,-0.3245720550741953,Mid
5,5,10,1,1,2,2,Male,35,7,10,1,1,AT,0.17701226,1.8203841942742083,High
4,3,10,2,1,2,2,Male,26,4,9,1,1,AT,0.072521225,0.5218620042142851,Mid
4,4,8,3,1,1,2,Male,49,3,7,4,2,AT,0.03762088,0.6908355603857214,High
5,4,10,1,1,1,1,Female,34,6,9,1,1,AT,0.11510808,1.5372696196742017,High
2,3,0,4,5,4,4,Male,77,4,3,2,1,AT,0.05120068,-1.5134291696483875,Low
5,3,10,2,1,2,3,Male,27,4,NA,1,1,AT,0.13701682,1.2541550450741947,High
4,5,6,4,4,2,3,Female,69,5,2,3,2,AT,0.057815276,0.8598091165571576,High
2,3,5,2,2,3,2,Male,62,3,8,3,2,AT,0.042972326,-1.2280766235769611,Low
4,5,8,1,2,2,3,Female,45,6,8,3,2,AT,0.03049754,0.973950134985728,High
3,5,9,4,1,4,4,Male,45,3,4,3,2,AT,0.17284606,0.29872760334010345,Mid
3,2,7,5,3,2,4,Female,54,5,5,3,2,AT,0.06645706,-0.6647571388884873,Low
4,5,9,2,1,2,2,Female,26,7,4,1,1,AT,0.055170055,1.0310206442000132,High
4,5,10,2,1,1,2,Male,67,5,8,4,1,AT,0.075536646,1.0880911534142983,High
4,4,9,4,2,1,2,Female,44,5,4,4,1,AT,0.15966038,0.7479060696000066,High
1,1,0,5,5,5,5,Male,76,6,8,3,2,AT,0.08292462,-2.8119513597083112,Low
3,2,8,3,1,1,2,Male,23,3,7,4,2,AT,0.09275797,-0.6076866296742021,Low
4,5,10,2,1,2,2,Female,70,5,9,2,1,AT,0.17997943,1.0880911534142983,High
2,1,2,5,2,4,4,Female,43,2,5,4,1,AT,0.5418776,-1.9655173004198303,Low
3,3,7,4,2,2,2,Female,41,5,NA,4,1,AT,0.027421052,-0.3816425642884806,Low
4,5,10,1,1,1,2,Male,36,7,3,3,1,AT,0.075591095,1.0880911534142983,High
4,5,6,2,2,1,2,Female,69,7,7,1,1,AT,0.08949694,0.8598091165571576,High
3,3,8,3,2,1,3,Female,57,5,4,4,1,AT,0.026228737,-0.3245720550741953,Mid
4,4,10,3,2,2,2,Female,31,6,9,4,2,AT,0.039361328,0.8049765788142919,High
4,4,10,4,1,2,2,Female,51,7,4,4,3,AT,0.031086741,0.8049765788142919,High
2,1,10,5,2,2,2,Male,65,3,7,2,1,AT,0.117055915,-1.5089532267055483,Low
5,5,10,3,1,2,2,Female,26,5,10,1,1,AT,0.23224062,1.8203841942742083,High
5,4,10,5,2,2,2,Male,65,3,NA,4,2,AT,0.041357208,1.5372696196742017,High
3,4,7,4,2,3,4,Female,57,5,NA,4,1,AT,0.12363381,-0.09852798968847376,Mid
4,3,8,2,1,3,2,Female,81,3,10,3,1,AT,0.14416057,0.4077209857857146,Mid
5,5,10,1,1,1,1,Female,28,5,5,1,2,AT,0.057405654,1.8203841942742083,High
4,5,10,1,2,1,1,Male,73,5,NA,4,2,AT,0.03033597,1.0880911534142983,High
5,4,10,3,1,1,1,Female,27,5,8,4,2,AT,0.15282586,1.5372696196742017,High
3,5,10,2,1,1,2,Male,43,7,9,4,1,AT,0.12804559,0.3557981125543887,Mid
2,2,4,5,5,4,4,Male,45,6,2,4,2,AT,0.015505217,-1.568261707391253,Low
4,4,10,2,2,2,2,Female,55,3,6,4,2,AT,0.0132170785,0.8049765788142919,High
4,3,7,3,3,3,3,Female,33,6,NA,4,2,AT,0.025018753,0.3506504765714293,Mid
3,3,7,4,2,2,3,Female,41,3,6,1,2,AT,0.11558657,-0.3816425642884806,Low
4,4,6,3,2,2,2,Male,80,7,4,1,2,AT,0.09466427,0.576694541957151,High
4,4,6,4,2,5,2,Male,31,5,NA,3,2,AT,0.12558483,0.576694541957151,High
3,5,2,5,2,4,4,Male,52,7,10,3,1,AT,0.06036041,-0.10076596115989324,Mid
4,4,8,2,1,2,2,Male,45,7,10,1,1,AT,0.09507663,0.6908355603857214,High
2,2,3,4,2,4,2,Female,61,5,NA,1,2,AT,0.1061077,-1.6253322166055384,Low
2,5,2,5,5,3,5,Male,57,5,NA,3,2,AT,0.46434116,-0.8330590020198032,Low
4,4,7,3,4,1,2,Male,58,4,6,1,1,AT,0.12716451,0.6337650511714361,High
2,3,5,5,4,NA,5,Female,37,3,7,4,3,AT,0.12427752,-1.2280766235769611,Low
3,4,5,5,3,2,4,Male,77,3,5,2,2,AT,0.051314235,-0.21266900811704426,Mid
3,2,5,3,2,2,3,Male,64,3,5,5,2,AT,0.14676045,-0.7788981573170578,Low
2,1,3,5,5,2,4,Female,47,6,5,5,3,AT,0.08529018,-1.9084467912055452,Low
2,4,5,3,2,2,2,Female,37,6,10,3,1,AT,0.08851642,-0.9449620489769542,Low
4,1,7,5,1,4,3,Male,28,3,4,2,2,AT,0.12957601,-0.2155786726285842,Mid
2,3,7,2,1,1,2,Male,68,5,10,3,1,AT,0.039604407,-1.1139356051483906,Low
4,5,10,2,1,3,2,Male,24,4,10,1,1,AT,0.58410054,1.0880911534142983,High
4,4,8,2,2,1,1,Male,73,5,8,2,1,AT,0.093277,0.6908355603857214,High
4,5,7,1,1,2,2,Male,66,3,5,4,1,AT,0.045884345,0.9168796257714428,High
3,4,10,1,1,2,1,Male,35,7,1,1,1,AT,0.12294176,0.07268353795438197,Mid
3,3,3,4,3,3,2,Male,65,3,7,1,1,AT,0.04979519,-0.6099246011456215,Low
4,3,10,2,1,1,1,Male,23,5,NA,1,2,AT,0.10157243,0.5218620042142851,Mid
4,4,10,2,1,2,1,Female,38,7,8,3,1,AT,0.033169694,0.8049765788142919,High
4,4,7,5,2,4,4,Female,55,7,10,5,2,AT,0.029438823,0.6337650511714361,High
3,4,2,4,2,3,2,Male,61,5,9,3,1,AT,0.03243013,-0.38388053575990005,Low
3,3,6,4,2,3,4,Female,35,7,3,4,3,AT,0.09884243,-0.4387130735027658,Low
4,3,6,4,3,2,3,Female,36,7,NA,4,NA,AT,0.31044078,0.29357996735714403,Mid
