model,outcome,term,estimate,std.error,conf.low,conf.high,or,or_low,or_high
pooled,w1gq14,clusterHigh,-1.791193074554933,0.22934826200107028,-2.2407074079938867,-1.3416787411159792,0.16676109251747878,0.10638322141326316,0.2614064662470923
pooled,w1gq14,ghg_cum_pc,0.034648212709420444,0.1613677872584474,-0.28162683858205784,0.3509232640008987,1.035255455021875,0.7545552028933542,1.420378327580132
pooled,w1gq14,res_5yr_ma,-0.1826905114202221,0.15726391285951127,-0.4909221166927096,0.1255410938522654,0.8330259278576005,0.6120617415377699,1.133761758641459
pooled,w1gq14,gdp_constant20_eur_pc,0.23945580871493743,0.15102287685883672,-0.05654359077001003,0.5354552081998849,1.2705575358150183,0.9450252892172505,1.708225663625832
pooled,w1gq14,gndrFemale,0.09848236373540925,0.05532744436691884,-0.009957434580395136,0.20692216205121364,1.1034949426939922,0.9900919765326776,1.2298868361863018
pooled,w1gq14,age,0.0029926849877912527,0.0033098333015025177,-0.0034944690779849827,0.009479839053567488,1.0029971675400162,0.9965116294732824,1.009524915052953
pooled,w1gq14,eisced,-0.07126692450250392,0.021734676279880034,-0.11386610722670579,-0.028667741778302065,0.9312132953052021,0.8923774307728489,0.9717392791995714
pooled,w1gq14,hinctnta,-0.015976933051450457,0.015607066098423095,-0.04656622050869577,0.01461235440579486,0.9841500211313643,0.9545013509120974,1.014719636768813
pooled,w1gq14,w1xq3,0.03776112371108691,0.030017194727392466,-0.021071496871527914,0.09659374429370174,1.0384831342500291,0.9791489559796794,1.101412827471927
pooled,w1gq14,hincfel,0.12919787086275852,0.07712458424802919,-0.021963536586003835,0.28035927831152085,1.1379152621655426,0.9782759056802209,1.3236052695879612
pooled,w1gq14,1|2,-1.856949675852868,0.28695815118525464,-2.419377317246167,-1.2945220344595691,0.1561482073146289,0.08897700465955877,0.2740288093633072
pooled,w1gq14,2|3,0.08501883233029495,0.3188629119548778,-0.5399409911068317,0.7099786557674216,1.0887375699708581,0.582782640717957,2.0339478451275794
pooled,w1gq14,3|4,1.5292015800464296,0.31980126550111937,0.902402617453904,2.1560005426389552,4.614491049368866,2.465519701326736,8.636527071045908
pooled,w1gq14,4|5,2.4497659656652617,0.33390847188013184,1.795317386647398,3.1042145446831255,11.58563496554235,6.021385525924117,22.29170296054036
pooled,w1gq15,clusterMid,-0.8106150212803771,0.04512397909803796,-0.8990563951516697,-0.7221736474090845,0.4445845531622644,0.4069534819024615,0.4856953772369106
pooled,w1gq15,clusterHigh,-1.5218705908588512,0.10065763613074422,-1.7191559324440475,-1.324585249273655,0.21830314890577146,0.17921735564310762,0.265913223923903
pooled,w1gq15,ghg_cum_pc,0.12408287799671373,0.044402714130033875,0.037055157486019605,0.21111059850740788,1.132109694094693,1.0377502589549874,1.2350489420776645
pooled,w1gq15,res_5yr_ma,-0.04556047793846675,0.060254552537626696,-0.16365723081679157,0.07253627493985806,0.9554618164636363,0.8490329943551512,1.075231809351948
pooled,w1gq15,gdp_constant20_eur_pc,-0.07411536023639838,0.07838904943129621,-0.2277550739040689,0.07952435343127216,0.9285645682342857,0.7963192753235074,1.0827719284200934
pooled,w1gq15,gndrFemale,-0.0946737583697087,0.12528014287741343,-0.3402183263874712,0.15087080964805374,0.9096696581760965,0.7116149414818658,1.162846419839125
pooled,w1gq15,age,-0.0035784781045770605,0.003275164461336438,-0.009997682492242003,0.0028407262830878826,0.9964279170176529,0.9900521281999973,1.0028447649693575
pooled,w1gq15,eisced,-0.07273034954332659,0.019586115594812502,-0.1111184307061974,-0.034342268380455794,0.9298515311134454,0.8948327669768745,0.9662407343833483
pooled,w1gq15,hinctnta,0.01042157413379006,0.03132398698766129,-0.05097231221422736,0.07181546048180748,1.0104760678765121,0.9503049820089325,1.074457045981876
pooled,w1gq15,w1xq3,0.03994433819019421,0.015158328049912838,0.010234561146521784,0.06965411523386664,1.0407528423933408,1.0102871133975169,1.072137281160811
pooled,w1gq15,hincfel,0.24154458268579468,0.15007167823302517,-0.052590501750418156,0.5356796671220075,1.2732142169615994,0.948768451964564,1.708609133152
pooled,w1gq15,1|2,-2.131751202854027,0.3902832663554837,-2.896692348679428,-1.366810057028626,0.1186293677577731,0.055205519007367566,0.2549188405009079
pooled,w1gq15,2|3,-0.3391202161707598,0.4516758695231715,-1.2243886531219883,0.5461482207804688,0.7123968023255948,0.2939373430829425,1.7265897508657992
